zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
85069,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.56,-112.09,Phoenix,1661
85070,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.3,-112.04,Phoenix,304
85071,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.59,-112.11,Phoenix,888
85072,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.01,Phoenix,41
85073,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.44,-112.07,Phoenix,0
85074,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.09,Phoenix,359
85075,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.49,-112.21,Phoenix,356
85076,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.32,-111.99,Phoenix,839
85077,UNIQUE,1,Phoenix,,"Greyhound Dial Corp, Dial Corp",AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-111.97,Phoenix,0
85078,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.62,-112,Phoenix,773
85079,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.5,-112.11,Phoenix,1040
85080,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.63,-112.11,Phoenix,1829
85082,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.46,-111.98,Phoenix,1184
85083,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.73,-112.14,Phoenix,19190
85085,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.75,-112.09,Phoenix,24930
85086,STANDARD,0,Phoenix,"Anthem, Desert Hills",,AZ,Maricopa County,America/Phoenix,############,NA,US,33.83,-112.11,Phoenix,37380
85087,STANDARD,0,New River,Phoenix,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.95,-112.07,Phoenix,8820
85096,STANDARD,1,Phoenix,,Census Bureau,AZ,Maricopa County,America/Phoenix,602,NA,US,33.44,-112.09,Phoenix,0
85097,STANDARD,1,Phoenix,,Census Bureau,AZ,Maricopa County,America/Phoenix,"602,480,623",NA,US,33.43,-112.15,Phoenix,0
85098,UNIQUE,1,Phoenix,Ctc,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.44,-112.12,Phoenix,0
85099,UNIQUE,1,Phoenix,,Arizona State Lottery,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-111.97,Phoenix,0
85117,PO BOX,0,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.42,-111.54,Phoenix,0
85118,STANDARD,0,Gold Canyon,"Apache Jct, Apache Junction, Queen Valley, Superstition Mountain, Superstition Mtn, Suprstitn Mtn",,AZ,Pinal County,America/Phoenix,"928,520",NA,US,33.34,-111.42,Phoenix,9700
85119,STANDARD,0,Apache Junction,"Apache Jct, Gold Canyon, Tortilla Flat",,AZ,Pinal County,America/Phoenix,480,NA,US,33.38,-111.51,Phoenix,16230
85120,STANDARD,0,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.4,-111.56,Phoenix,21560
85121,PO BOX,0,Bapchule,,,AZ,Pinal County,America/Phoenix,520,NA,US,33.14,-111.92,Phoenix,0
85122,STANDARD,0,Casa Grande,"Eleven Mile, Eleven Mile Corner",,AZ,Pinal County,America/Phoenix,"480,520",NA,US,32.91,-111.74,Phoenix,44840
85123,PO BOX,0,Arizona City,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.73,-111.67,Phoenix,0
85127,PO BOX,0,Chandler Heights,Chandler Hts,,AZ,Maricopa County,America/Phoenix,"480,520",NA,US,33.21,-111.69,Phoenix,0
85128,STANDARD,0,Coolidge,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.97,-111.49,Phoenix,12700
85130,PO BOX,0,Casa Grande,,,AZ,Pinal County,America/Phoenix,"480,520",NA,US,32.89,-111.75,Phoenix,0
85131,STANDARD,0,Eloy,Toltec,,AZ,Pinal County,America/Phoenix,520,NA,US,32.65,-111.59,Phoenix,9480
85132,STANDARD,0,Florence,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.95,-111.23,Phoenix,19170
85135,PO BOX,0,Hayden,,,AZ,Gila County,America/Phoenix,520,NA,US,33,-110.79,Phoenix,0
85137,STANDARD,0,Kearny,,,AZ,Pinal County,America/Phoenix,520,NA,US,33.1,-110.97,Phoenix,1720
85138,STANDARD,0,Maricopa,,,AZ,Pinal County,America/Phoenix,520,NA,US,33.01,-111.97,Phoenix,39360
85139,STANDARD,0,Maricopa,Mobile,,AZ,Pinal County,America/Phoenix,520,NA,US,32.98,-112.11,Phoenix,16910
85140,STANDARD,0,San Tan Valley,"Queen Creek, San Tan Vly",,AZ,Pinal County,America/Phoenix,520,NA,US,33.24,-111.54,Phoenix,39100
85141,STANDARD,0,Picacho,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.71,-111.49,Phoenix,320
85142,STANDARD,0,Queen Creek,"Chandler Heights, Chandler Hts, San Tan Valley, San Tan Vly",,AZ,Maricopa County,America/Phoenix,"520,480",NA,US,33.16,-111.59,Phoenix,71810
85143,STANDARD,0,San Tan Valley,"Queen Creek, San Tan Vly",,AZ,Pinal County,America/Phoenix,,NA,US,33.16,-111.56,Phoenix,36160
85145,STANDARD,0,Red Rock,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.57,-111.36,Phoenix,2390
85147,PO BOX,0,Sacaton,,,AZ,Pinal County,America/Phoenix,,NA,US,33.08,-111.74,Phoenix,0
85172,STANDARD,0,Stanfield,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.93,-111.92,Phoenix,1770
85173,STANDARD,0,Superior,,,AZ,Pinal County,America/Phoenix,"520,928",NA,US,33.28,-111.1,Phoenix,1920
85178,PO BOX,0,Apache Junction,Apache Jct,,AZ,Pinal County,America/Phoenix,480,NA,US,33.42,-111.54,Phoenix,0
85190,PO BOX,0,Tortilla Flat,,Apache Jct,AZ,Maricopa County,America/Phoenix,480,NA,US,33.52,-111.38,Phoenix,0
85191,PO BOX,0,Valley Farms,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.98,-111.44,Phoenix,0
85192,STANDARD,0,Winkelman,Dudleyville,,AZ,Pinal County,America/Phoenix,520,NA,US,32.88,-110.66,Phoenix,950
85193,STANDARD,0,Casa Grande,,,AZ,Pinal County,America/Phoenix,520,NA,US,32.86,-111.83,Phoenix,2930
85194,STANDARD,0,Casa Grande,,,AZ,Pinal County,America/Phoenix,"480,520",NA,US,32.91,-111.65,Phoenix,5340
85201,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,"480,928",NA,US,33.44,-111.85,Phoenix,38960
85202,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,"480,928",NA,US,33.38,-111.87,Phoenix,32760
85203,STANDARD,0,Mesa,,,AZ,Maricopa County,America/Phoenix,480,NA,US,33.44,-111.8,Phoenix,31970
